day,energy_sum,NoOfHouse,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,IsBankHoliday
2012-03-08,10859.782995200003,895,12.133835748826819,12.03,275,1.64,0.29,3.54,1030.58,12.03,12.96,0.68,4.48,12.03,2.0,6.74,3.26,12.03,-0.33,0.49,0
2012-03-09,11083.751002799998,906,12.233720753642382,10.86,241,5.51,0.64,4.01,1034.68,10.86,13.02,0.78,6.66,10.86,2.0,8.74,6.74,10.86,4.48,0.54,0
2012-03-10,10894.614003099996,913,11.932764515991233,15.39,279,8.37,0.53,3.15,1036.42,15.39,11.17,0.81,6.04,15.39,2.0,6.82,8.74,15.39,6.66,0.58,1
2012-03-11,11145.288003099999,925,12.04896000335135,15.55,304,7.37,0.38,1.25,1036.86,15.55,10.59,0.81,4.46,15.55,2.0,5.43,6.82,15.55,6.04,0.61,1
2012-03-12,10268.10400080001,923,11.1247063930661,13.86,355,6.53,0.41,1.02,1035.0,13.86,4.76,0.87,6.4,13.86,2.0,6.4,5.43,13.86,4.46,0.65,0
2012-03-13,10392.817002100002,938,11.07976226236674,10.89,73,5.45,0.79,1.55,1034.58,10.89,6.08,0.86,3.37,10.89,2.0,5.37,6.36,10.89,4.71,0.69,0
2012-03-14,10663.068998399996,960,11.107363539999996,12.41,108,4.08,0.54,2.03,1031.31,12.41,6.61,0.8,1.59,12.41,2.0,2.82,5.03,12.41,3.37,0.73,0
2012-03-15,10814.730998699992,979,11.046711949642484,16.79,205,5.72,0.32,1.41,1024.51,16.79,3.2,0.82,6.07,16.79,3.0,8.5,2.82,16.79,1.59,0.76,0
2012-03-16,11469.001999199982,1004,11.423308764143409,9.75,234,5.04,0.89,4.2,1018.93,7.32,9.4,0.76,5.11,7.32,2.0,7.49,8.5,9.75,6.07,0.8,0
2012-03-17,12206.561000100008,1028,11.87408657597277,10.75,204,6.99,0.52,3.44,1012.96,10.75,9.3,0.87,1.58,10.75,2.0,3.98,7.37,10.75,5.11,0.83,1
2012-03-18,12601.292000400004,1034,12.186936170599617,9.76,307,3.89,0.38,1.84,1017.33,8.03,11.57,0.82,-0.32,8.03,2.0,1.69,3.98,9.76,1.58,0.87,1
2012-03-19,11304.298996300015,1017,11.115338246116043,13.27,267,1.41,0.17,2.68,1032.01,13.27,11.46,0.68,1.97,13.27,3.0,4.33,1.69,13.27,-0.32,0.9,0
2012-03-20,11535.449004599988,1070,10.780793462242979,14.48,259,4.41,0.34,2.42,1034.75,14.48,13.05,0.72,8.48,14.48,2.0,8.79,4.33,14.48,1.97,0.94,0
2012-03-21,11516.956000099986,1092,10.546663003754567,15.62,70,4.93,0.47,1.87,1034.03,15.62,12.6,0.67,3.51,15.62,3.0,6.14,7.44,15.62,5.38,0.97,0
